Name,Payment terms,Days of Credit,Credit Limit,BALANCED,link to seller,Intra ,Total Intra per client,Photo,SOLD TO,SHIP TO,Status,Accounting
ALPHA BLUEWING,24 Hrs,,$50000.00,ALPHA BLUEWING,,,$0.00,Logos Orka (3).png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/zPOAVx58m3BbrxndAgTy4Q/uZbQOh7n4mRPzebRhmNoJJ-dFV0CbUNFUA-sbGxjm91Sg8IlQTvi3hXna4m1bMihdQDUO2W7Q1AZnJFOGnvu9IBceaUqfwZEzkwgplB1gxP0vqo8TbxLHutCN8bbwD3gDvDcBnPmHBTMEQnCJvTge3Pkc5ngTz0slT_s6wbOo9k/i_Dw9BNP_7YQsryMv0xtMbYBglXlIFR87KTXbLaUhM4),,,Active,Unnamed record
CONTRERAS,24 Hrs,,$10000.00,CONTRERAS,,,$0.00,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),,,Active,Unnamed record
RM - Materias Primas,24 Hrs,,$500000.00,RM - Materias Primas,,,$0.00,rSopuc0C4vJ6Wfd0DJs1nWJV9S4ZGV9GEyOkfRRbO3M.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/cRZumShpF_OhhQIHK6x-Tw/UYO91N3Sg_WrXK51ep6Pa3FDlM7bRJfldqRTOHT3tT1sXKUUdY8l5wu13zI8kq5r1BMF4m8HvmJGDP-gLEnedY22bbQRO1dJS6SqDhzhNWI0gZUogZW-5U2WYV2pU0eKcxisVDwvJwwUfd_Xf3Z2Hm8oq4KZqejhjGy40J38WZcPjGienFhFjAu2XA_p07L2rfK-rPEGF0H8U7i8hvwgRA/30OKzK_Cbv_T5n70WaYBMO48uHd9TlhJb9oFsWxqDbo),,,Active,Unnamed record
RM - JB FUELS,24 Hrs,,$500000.00,RM - JB FUELS,,,$0.00,rSopuc0C4vJ6Wfd0DJs1nWJV9S4ZGV9GEyOkfRRbO3M.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/HxQsYUuc-LtQ8zH_J4UqjA/z2wi8jk8n9s0DmpVOPZxSuVpMGCx06lk9Ff8PjwUE-9xjVufchIzMLKrYu3gmy8MVswNF-PET0KpdhsG4TL0JsDDfZgbq5iybS6UGvUNnJceiFGUjHQec39MXyULchAboT70CZ7MeWwKfPgUiFxC52lB1aVjVjScTSYXJcLoUsKFSkhsymsRRA-YCLgk3J9RHYUBvGUvGDmoQmflvSAJgw/bwAAXeIyi-kNRlNzwAVdQRnKSyopzPXPR1G6PB_jljc),,,Active,Unnamed record
CAMPER - TITAN,24 Hrs,,$10000.00,CAMPER - TITAN,,,$0.00,rSopuc0C4vJ6Wfd0DJs1nWJV9S4ZGV9GEyOkfRRbO3M.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/HxQsYUuc-LtQ8zH_J4UqjA/z2wi8jk8n9s0DmpVOPZxSuVpMGCx06lk9Ff8PjwUE-9xjVufchIzMLKrYu3gmy8MVswNF-PET0KpdhsG4TL0JsDDfZgbq5iybS6UGvUNnJceiFGUjHQec39MXyULchAboT70CZ7MeWwKfPgUiFxC52lB1aVjVjScTSYXJcLoUsKFSkhsymsRRA-YCLgk3J9RHYUBvGUvGDmoQmflvSAJgw/bwAAXeIyi-kNRlNzwAVdQRnKSyopzPXPR1G6PB_jljc),,,Active,Unnamed record
GLD TRANSPORTES,24 Hrs,,$10000.00,GLD TRANSPORTES,,,$0.00,rSopuc0C4vJ6Wfd0DJs1nWJV9S4ZGV9GEyOkfRRbO3M.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/HxQsYUuc-LtQ8zH_J4UqjA/z2wi8jk8n9s0DmpVOPZxSuVpMGCx06lk9Ff8PjwUE-9xjVufchIzMLKrYu3gmy8MVswNF-PET0KpdhsG4TL0JsDDfZgbq5iybS6UGvUNnJceiFGUjHQec39MXyULchAboT70CZ7MeWwKfPgUiFxC52lB1aVjVjScTSYXJcLoUsKFSkhsymsRRA-YCLgk3J9RHYUBvGUvGDmoQmflvSAJgw/bwAAXeIyi-kNRlNzwAVdQRnKSyopzPXPR1G6PB_jljc),,,Active,Unnamed record
TIF RAILCARS,24 Hrs,,,TIF RAILCARS,,,$0.00,TIF RAILCARS.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/Z8OhkgpqjQZV1b9Nf1RsYQ/xXr_f8ktec2031EQuqwn7CeGx59n1ZP7E_ZJ0CRhpuo5AJlkAenSuG_K7SVUNkFKJD7a2190HvB1SQ9-Wp5KxQqIhngV9_hPkiYYzJzi-JtNJuRuOUB3tDQ70JlagsjjiTpz5xNAoBZhsCN56e4HGKOlkt3kFwZvmlLTLjC6-9M/sdK2tUzZOSj2LTPc_YpVpVpKCSQQsOIRCclVThRRn04),,,Active,Unnamed record
CAMPER - HARLINGEN,Credit,,,CAMPER - HARLINGEN,,,$0.00,Camper (2).png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/R1HrENjovkqRzIZdLdEJbw/iOiepf5ZlYPczzrbwc01jyP2PNHpkS0U8u_7gEtYDQhFbx8uRtL3om9JZy7XeRbvQTmHUbf6NfY7oLfVWgqknfLsqgb8Byf6HvuZVThEXB6NwcsaRkVIM7RLnEeRJ5NyhZonNvGC_rJudDjHn6LTzmgILxgTkW1hWqDrD36IgW0/FxSNwTAfF2rd9W-xk6L49JSWpt43u-Vekjb-xq4pVVA),,,Active,Unnamed record
PRESTAMO ORKA´S,Credit,,,,,,$0.00,rSopuc0C4vJ6Wfd0DJs1nWJV9S4ZGV9GEyOkfRRbO3M.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/HxQsYUuc-LtQ8zH_J4UqjA/z2wi8jk8n9s0DmpVOPZxSuVpMGCx06lk9Ff8PjwUE-9xjVufchIzMLKrYu3gmy8MVswNF-PET0KpdhsG4TL0JsDDfZgbq5iybS6UGvUNnJceiFGUjHQec39MXyULchAboT70CZ7MeWwKfPgUiFxC52lB1aVjVjScTSYXJcLoUsKFSkhsymsRRA-YCLgk3J9RHYUBvGUvGDmoQmflvSAJgw/bwAAXeIyi-kNRlNzwAVdQRnKSyopzPXPR1G6PB_jljc),,,Active,
ENERGAX SUPPLIER,Credit,,,,,,$0.00,rSopuc0C4vJ6Wfd0DJs1nWJV9S4ZGV9GEyOkfRRbO3M.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/HxQsYUuc-LtQ8zH_J4UqjA/z2wi8jk8n9s0DmpVOPZxSuVpMGCx06lk9Ff8PjwUE-9xjVufchIzMLKrYu3gmy8MVswNF-PET0KpdhsG4TL0JsDDfZgbq5iybS6UGvUNnJceiFGUjHQec39MXyULchAboT70CZ7MeWwKfPgUiFxC52lB1aVjVjScTSYXJcLoUsKFSkhsymsRRA-YCLgk3J9RHYUBvGUvGDmoQmflvSAJgw/bwAAXeIyi-kNRlNzwAVdQRnKSyopzPXPR1G6PB_jljc),,,Active,
