Name,CLIENTS,BALANCED CLIENTS,Picture,Total Revenue,Payment for clients total,Total Ajustes,VENDOR,Type,SUM Due Balanced,SUM Partial Balanced,SUM On time Balanced,SUM Pre Paid Balanced,Credit Limit (from Client list Link),Credit Avalible,SUM Final due balance,INTRA per Client,Balanced + Intra,Debt,Debt INTRA,Frozen Balanced Clients,Active clients,Cashflow,Payments in Transit
GARVEL,GARVEL,$379.63,,$581055.42,-$580675.79,$0.00,,Client,$0.00,$379.63,$0.00,$0.00,$10000.00,$9620.37,$379.63,$0.00,$379.63,Debt,Debt,$379.63,Non active,,$0.00
GUERRA,GUERRA,$22359.68,,$1798510.76,-$1776151.08,$0.00,,Client,$20157.90,$2201.78,$0.00,$0.00,$10000.00,-$12359.68,$22359.68,$0.00,$22359.68,Debt,Debt,$22359.68,Non active,,$0.00
GURO,GURO,-$5437.32,,$4553016.37,-$4558453.69,$0.00,,Client,$0.00,$0.00,$0.00,-$5437.32,$10000.00,$15437.32,$0.00,$0.00,-$5437.32,To pay,To pay,-$5437.32,Non active,,$0.00
HICARBU,HICARBU,-$420.28,,$350816.48,-$351236.76,$0.00,,Client,$0.00,$0.00,$0.00,-$420.28,$10000.00,$10420.28,$0.00,$0.00,-$420.28,To pay,To pay,-$420.28,Non active,,$0.00
HIDROSAG,HIDROSAG,-$4090.28,,$191166.72,-$195257.00,$0.00,,Client,$0.00,$0.00,$0.00,-$4090.28,$10000.00,$14090.28,$0.00,$0.00,-$4090.28,To pay,To pay,-$4090.28,Non active,,$0.00
HUERTA,HUERTA,-$225.65,,$6427293.72,-$6509947.01,$82427.64,,Client,$0.00,$0.00,$0.00,-$225.91,$10000.00,$10225.65,$0.00,$0.00,-$225.65,To pay,To pay,-$225.65,Non active,,$0.00
HUMEC,HUMEC,-$2081.63,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),$4084020.15,-$4086101.78,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$12081.63,$0.00,$0.00,-$2081.63,To pay,To pay,-$2081.63,Non active,,$0.00
ICOENSA,ICOENSA,-$14375.82,,$2867315.42,-$2881691.24,$0.00,,Client,$0.00,$0.00,$0.00,-$14375.82,$10000.00,$24375.82,$0.00,$0.00,-$14375.82,To pay,To pay,-$14375.82,Non active,,$0.00
IKER ENERGY,IKER ENERGY,$0.35,,$67027.35,-$67027.00,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$9999.65,$0.00,$0.00,$0.35,Debt,Debt,$0.35,Non active,,$0.00
INNOSOLV,INNOSOLV,-$836.51,,$405863.49,-$406700.00,$0.00,,Client,$0.00,$0.00,$0.00,-$836.51,$10000.00,$10836.51,$0.00,$0.00,-$836.51,To pay,To pay,-$836.51,Non active,,$0.00
JB FUELS,JB FUELS,-$0.00,,$1797537.22,-$1797537.22,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.00,$0.00,$0.00,-$0.00,To pay,To pay,-$0.00,Non active,,$0.00
JALA ENERGY,JALA ENERGY,$0.00,,$31927.36,$0.00,-$31927.36,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.00,$0.00,$0.00,$0.00,To pay,To pay,$0.00,Non active,,$0.00
JAR FREIGHT,JAR FREIGHT,-$216.84,,$14666.10,-$14882.94,$0.00,,Client,$0.00,$0.00,$0.00,-$216.84,$10000.00,$10216.84,$0.00,$0.00,-$216.84,To pay,To pay,-$216.84,Non active,,$0.00
JEQUE,JEQUE,-$1491.39,,$63884.61,-$65376.00,$0.00,,Client,$0.00,$0.00,$0.00,-$1491.39,$10000.00,$11491.39,$0.00,$0.00,-$1491.39,To pay,To pay,-$1491.39,Non active,,$0.00
JOSUE ENERGY,JOSUE ENERGY,-$1672.03,,$288252.90,-$289924.93,$0.00,,Client,$0.00,$0.00,$0.00,-$1672.02,$10000.00,$11672.03,$0.00,$0.00,-$1672.03,To pay,To pay,-$1672.03,Non active,,$0.00
JPAC,JPAC,-$2952.14,ZBPdrbZDTITJSAk8ajF45p0wfcd1eRksOkKj3ZdnvE0.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/LfykntPqb47w7C4Bqu9tyQ/fD2BfR3b5o-KdSi2aHlz-y0R6pXoskeYyKK4TvEr5dTIiKc7Ef2YmwSsTDyz8b4BH3xsrn7wScXqzhJlB7VZJdC0EfJbfmZBpQaZsautYkIvqamWgh-k5dwnABP4m5NBYVGXuYBegdUv8HEvj2BwpIrdNjnWnRhyeKuWXZnTASnZmZ7h12Zv0OKBh3C197wVPPBaw21LkJfqE7uVA1kNfA/vAk0Qp4m9_Ogq-_AhUmBhl_xMxXcvT1xXUDYLFn3yyE),$2622742.68,-$2591546.05,-$34148.77,,Client,$41445.04,$1452.38,$0.00,$0.00,$10000.00,$12952.14,$42897.42,$0.00,-$2952.14,To pay,To pay,-$2952.14,Non active,,$0.00
JUAN ENERGY,JUAN ENERGY,$0.00,,$43065.50,-$30217.54,-$12847.95,,Client,$0.00,$12847.95,$0.00,$0.00,$10000.00,$10000.00,$12847.95,$0.00,$0.00,To pay,To pay,$0.00,Non active,,$0.00
LAMBRUCAR,LAMBRUCAR,$3608.87,,$512110.70,-$508501.83,$0.00,,Client,$0.00,$3608.87,$0.00,$0.00,$10000.00,$6391.13,$3608.87,$0.00,$3608.87,Debt,Debt,$3608.87,Non active,,$0.00
LEB ENERGY,LEB ENERGY,$55357.33,,$376517.75,-$321160.42,$0.00,,Client,$55357.33,$0.00,$0.00,$0.00,$10000.00,-$45357.33,$55357.33,$0.00,$55357.33,Debt,Debt,$55357.33,Non active,,$0.00
LEE ENERGY,LEE ENERGY,$50434.92,,$131839.96,-$81405.04,$0.00,,Client,$25420.36,$25014.56,$0.00,$0.00,$10000.00,-$40434.92,$50434.92,$0.00,$50434.92,Debt,Debt,$50434.92,Non active,,$0.00
LOWIN,LOWIN,-$142.33,,$258392.67,-$258535.00,$0.00,,Client,$0.00,$0.00,$0.00,-$145.33,$10000.00,$10142.33,$0.00,$0.00,-$142.33,To pay,To pay,-$142.33,Non active,,$0.00
LUIS BR,LUIS BR,-$0.00,,$31832.70,-$31832.70,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.00,$0.00,$0.00,-$0.00,To pay,To pay,-$0.00,Non active,,$0.00
LUTHA,LUTHA,$19454.25,,$267098.57,-$247644.32,$0.00,,Client,$0.00,$19454.25,$0.00,$0.00,$10000.00,-$9454.25,$19454.25,$0.00,$19454.25,Debt,Debt,$19454.25,Non active,,$0.00
MAGDA,MAGDA,$0.00,,$271609.89,-$273869.36,$2259.47,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.00,$0.00,$0.00,$0.00,To pay,To pay,$0.00,Non active,,$0.00
MALESA,MALESA,$0.00,,$4878557.53,-$4906755.26,$28197.73,,Client,$0.00,$0.00,$0.00,-$181.17,$10000.00,$10000.00,$0.00,$0.00,$0.00,To pay,To pay,$0.00,Non active,,$0.00
MAQLUB,MAQLUB,-$8337.35,,$11160334.79,-$3610745.63,-$7557926.51,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$18337.35,$0.00,$0.00,-$8337.35,To pay,To pay,-$8337.35,Non active,,$0.00
MAQUINARIA,MAQUINARIA,-$578.27,,$577415.49,-$577993.76,$0.00,,Client,$0.00,$0.00,$0.00,-$577.84,$10000.00,$10578.27,$0.00,$0.00,-$578.27,To pay,To pay,-$578.27,Non active,,$0.00
MARVIC,MARVIC,$0.00,,$510073.12,-$510073.12,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.00,$0.00,$0.00,$0.00,To pay,To pay,$0.00,Non active,,$0.00
MASS,MASS,$3309.75,,$150652.17,-$101962.77,-$45379.65,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$6690.25,$0.00,$0.00,$3309.75,Debt,Debt,$3309.75,Non active,,$0.00
MEXXON,MEXXON,$9005.80,,$967246.02,-$958240.22,$0.00,,Client,$0.00,$9005.80,$0.00,$0.00,$10000.00,$994.20,$9005.80,$0.00,$9005.80,Debt,Debt,$9005.80,Non active,,$0.00
MG ENERGY,MG ENERGY,-$0.00,,$15960273.35,-$15879116.56,-$81156.79,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.00,$0.00,$0.00,-$0.00,To pay,To pay,-$0.00,Non active,,$0.00
MKS,MKS,-$497.70,,$255478.60,-$255976.30,$0.00,,Client,$0.00,$0.00,$0.00,-$497.70,$10000.00,$10497.70,$0.00,$0.00,-$497.70,To pay,To pay,-$497.70,Non active,,$0.00
NAVAL,NAVAL,-$914.82,,$55055.18,-$55970.00,$0.00,,Client,$0.00,$0.00,$0.00,-$914.82,$10000.00,$10914.82,$0.00,$0.00,-$914.82,To pay,To pay,-$914.82,Non active,,$0.00
OLEUMV,OLEUMV,$0.01,,$140064.78,-$140064.77,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$9999.99,$0.00,$0.00,$0.01,To pay,To pay,$0.01,Non active,,$0.00
OLG,OLG,$246.81,,$3957047.54,-$3956800.73,$0.00,,Client,$0.00,$246.81,$0.00,$0.00,$10000.00,$9753.19,$246.81,$0.00,$246.81,Debt,Debt,$246.81,Non active,,$0.00
OP ENERGY,OP ENERGY,-$66.38,,$332425.93,-$332492.31,$0.00,,Client,$0.00,$0.00,$0.00,-$66.38,$10000.00,$10066.38,$0.00,$0.00,-$66.38,To pay,To pay,-$66.38,Non active,,$0.00
OSCAR ENERGY,OSCAR ENERGY,-$0.01,,$71134.00,$0.00,-$71134.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.01,$0.00,$0.00,-$0.01,To pay,To pay,-$0.01,Non active,,$0.00
OSEGUERA,OSEGUERA,-$667.67,,$52327.33,-$52995.00,$0.00,,Client,$0.00,$0.00,$0.00,-$667.67,$10000.00,$10667.67,$0.00,$0.00,-$667.67,To pay,To pay,-$667.67,Non active,,$0.00
PEPE ENERGY,PEPE ENERGY,$8289.36,,$99158.36,-$90869.00,$0.00,,Client,$0.00,$8289.36,$0.00,$0.00,$10000.00,$1710.64,$8289.36,$0.00,$8289.36,Debt,Debt,$8289.36,Non active,,$0.00
PETRODIESEL,PETRODIESEL,-$67.80,,$63372.81,-$46465.61,-$16975.00,,Client,$0.00,$0.00,$0.00,-$67.80,$10000.00,$10067.80,$0.00,$0.00,-$67.80,To pay,To pay,-$67.80,Non active,,$0.00
PETROLAND,PETROLAND,-$0.00,,$3802935.84,-$3599582.66,-$203353.18,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.00,$0.00,$0.00,-$0.00,To pay,To pay,-$0.00,Non active,,$0.00
PETROLAND (OLD),PETROLAND (OLD),-$0.00,,$1099934.25,-$1099934.25,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.00,$0.00,$0.00,-$0.00,To pay,To pay,-$0.00,Non active,,$0.00
PG ENERGY,PG ENERGY,$0.00,,$198508.62,-$198508.62,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.00,$0.00,$0.00,$0.00,To pay,To pay,$0.00,Non active,,$0.00
POLO,POLO,$11718.51,,$2144027.55,-$2132309.04,$0.00,,Client,$0.00,$11718.51,$0.00,$0.00,$10000.00,-$1718.51,$11718.51,$0.00,$11718.51,Debt,Debt,$11718.51,Non active,,$0.00
PROKSOL,PROKSOL,$9.68,,$126269.68,-$126260.00,$0.00,,Client,$0.00,$9.68,$0.00,$0.00,$10000.00,$9990.32,$9.68,$0.00,$9.68,Debt,Debt,$9.68,Non active,,$0.00
QUASAR,QUASAR,$0.00,,$9796091.98,-$9796091.98,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.00,$0.00,$0.00,$0.00,To pay,To pay,$0.00,Non active,,$0.00
RIDE ON TIME,RIDE ON TIME,$50682.51,,$75609.19,-$24926.68,$0.00,,Client,$0.00,$78.72,$0.00,$0.00,$10000.00,-$40682.51,$78.72,$0.00,$50682.51,Debt,Debt,$50682.51,Non active,,$0.00
RIO GRANDE ENERGY,RIO GRANDE ENERGY,$0.00,,$18709.00,-$18709.00,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.00,$0.00,$0.00,$0.00,To pay,To pay,$0.00,Non active,,$0.00
RUO,RUO,-$15872.45,,$906843.55,-$922716.00,$0.00,,Client,$0.00,$0.00,$0.00,-$15872.45,$10000.00,$25872.45,$0.00,$0.00,-$15872.45,To pay,To pay,-$15872.45,Non active,,$0.00
SINAMEIN,SINAMEIN,$0.00,,$511277.23,-$511277.23,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.00,$0.00,$0.00,$0.00,To pay,To pay,$0.00,Non active,,$0.00
SOMOS,SOMOS,-$21.27,,$616714.66,-$616735.93,$0.00,,Client,$0.00,$0.00,$0.00,-$21.22,$10000.00,$10021.27,$0.00,$0.00,-$21.27,To pay,To pay,-$21.27,Non active,,$0.00
STN,STN,$8140.37,,$17993979.25,-$17986158.24,$319.36,,Client,$0.00,$8140.37,$0.00,$0.00,$10000.00,$1859.63,$8140.37,$0.00,$8140.37,Debt,Debt,$8140.37,Non active,,$0.00
SUPRA,SUPRA,$0.01,,$122988.88,-$122988.87,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$9999.99,$0.00,$0.00,$0.01,To pay,To pay,$0.01,Non active,,$0.00
TARGA,TARGA,$6300.00,,$393675.01,-$387375.01,$0.00,,Client,$0.00,$6300.00,$0.00,$0.00,$10000.00,$3700.00,$6300.00,$0.00,$6300.00,Debt,Debt,$6300.00,Non active,,$0.00
TEXAS INT (OLD),TEXAS INT (OLD),-$821.86,,$80523.14,-$81345.00,$0.00,,Client,$0.00,$0.00,$0.00,-$821.87,$10000.00,$10821.86,$0.00,$0.00,-$821.86,To pay,To pay,-$821.86,Non active,,$0.00
TKC ENVIRO,TKC ENVIRO,-$3981.18,,$980929.97,-$984911.15,$0.00,,Client,$0.00,$0.00,$0.00,-$3981.18,$10000.00,$13981.18,$0.00,$0.00,-$3981.18,To pay,To pay,-$3981.18,Non active,,$0.00
TKC ENVIRON,TKC ENVIRON,$0.00,,$0.00,$0.00,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.00,$0.00,$0.00,$0.00,To pay,To pay,$0.00,Non active,,$0.00
TNL,TNL,-$3425.99,,$2467980.09,-$2471406.08,$0.00,,Client,$0.00,$0.00,$0.00,-$3425.97,$10000.00,$13425.99,$0.00,$0.00,-$3425.99,To pay,To pay,-$3425.99,Non active,,$0.00
TOP NORTH,TOP NORTH,$237.61,,$8313420.78,-$8313825.17,$642.00,,Client,$0.00,$237.61,$0.00,$0.00,$10000.00,$9762.39,$237.61,$0.00,$237.61,Debt,Debt,$237.61,Non active,,$0.00
TRAZZO,TRAZZO,-$512.12,,$30842.88,-$31355.00,$0.00,,Client,$0.00,$0.00,$0.00,-$512.12,$10000.00,$10512.12,$0.00,$0.00,-$512.12,To pay,To pay,-$512.12,Non active,,$0.00
TRITON,TRITON,$0.01,,$3868051.26,-$3869476.98,$1425.73,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$9999.99,$0.00,$0.00,$0.01,To pay,To pay,$0.01,Non active,,$0.00
ZONA SUR,ZONA SUR,-$6400.00,,$19804460.75,-$19912288.75,$101428.00,,Client,$0.00,$0.00,$0.00,-$52621.53,$10000.00,$16400.00,$0.00,$0.00,-$6400.00,To pay,To pay,-$6400.00,Non active,,$0.00
MTY,MTY,-$752.30,,$94602.20,-$95354.50,$0.00,,Client,$0.00,$0.00,$0.00,-$752.30,$10000.00,$10752.30,$0.00,$0.00,-$752.30,To pay,To pay,-$752.30,Non active,,$0.00
ROMULO ENERGY,ROMULO ENERGY,-$0.04,,$337317.19,-$337317.23,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.04,$0.00,$0.00,-$0.04,To pay,To pay,-$0.04,Non active,,$0.00
IMPERIUM OSUNA,IMPERIUM OSUNA,$19.75,,$644398.66,-$644378.91,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$9980.25,$0.00,$0.00,$19.75,Debt,Debt,$19.75,Non active,,$0.00
PRETORIAN,PRETORIAN,$0.23,,$14240.23,-$8040.00,-$6200.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$9999.77,$0.00,$0.00,$0.23,Debt,Debt,$0.23,Non active,,$0.00
MVC,MVC,$0.00,,$0.00,$0.00,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.00,$0.00,$0.00,$0.00,To pay,To pay,$0.00,Non active,,$0.00
ENERGY MIDSTREAM,ENERGY MIDSTREAM,-$235.20,,$388530.80,-$388766.00,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10235.20,$0.00,$0.00,-$235.20,To pay,To pay,-$235.20,Non active,,$0.00
SERVICIO,,$0.00,,$0.00,$0.00,$0.00,,Vendor,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.00,$0.00,$0.00,$0.00,To pay,To pay,$0.00,Non active,,$0.00
PROVISION TRADING GROUP,PROVISION TRADING GROUP,-$699.23,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),$3308478.42,-$3309177.65,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10699.23,$0.00,$0.00,-$699.23,To pay,To pay,-$699.23,Non active,,$0.00
BASICOS,BASICOS MEXICANOS S.A DE C.V,$0.00,,$0.00,$0.00,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$10000.00,$0.00,$0.00,$0.00,To pay,To pay,$0.00,Non active,,$0.00
DELGADO ENERGY,DELGADO ENERGY,$250.04,,$650980.84,-$650730.80,$0.00,,Client,$0.00,$0.00,$0.00,$0.00,$10000.00,$9749.96,$0.00,$0.00,$250.04,Debt,Debt,$250.04,Non active,,$0.00
ANI TRANSPORT INC,,$890562.29,yfr4p2QksIIUGyrTdlOEhl6hbgZi5aDWCZYSzd3uAEA.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/giszo8W7pgfooTbz0ZvW6w/F0qH2WAVluO7b3xusRluGHPAPaGHnPTHmtvz_ZUHNS8Be2wfpvRWaKsfDbj1H-nHJwCRpDSCvy2-SowFwyImYOQDvvQOuVc08Rjbgz_YLd_Lc8gcLq2GkGPzR4o-vl3uc8RmAh1zoMo8pBvBKMItFAx85jF2n-1rRsm-KJJ6l1MmSoEPuHPNBHaN7NhmFgfJZAjcWx01aQ4qz3EIN37xJQ/M63OwEvbTqHrARMlqNbA0hX0QnwrVIF6-eGxAeofdx8),$890562.29,$0.00,$0.00,ANI TRANSPORT INC,Vendor,$0.00,$0.00,$0.00,$0.00,,-$890562.29,$0.00,$0.00,$890562.29,Debt,Debt,,Vendor,,$0.00
SOUTH TEXAS FUEL,SOUTH TEXAS FUEL,$3333430.73,STF.jpg (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/h2tqQJhu3_87g92n7QeuYQ/UEntoeVFtT0M4O53B7PN3YRU5SeX5poPK5_aAuksSrIdEkuymq0QYxBQJVdoG4hUVHpqDQjwPME6tO969rZPQUS6crEcHet6v8jak7QfAB2OFm15FB7oGC0Irwjx_w5sfewuE-sNvyRIkpBjt_EKUg/QYiBQ-0_alepELSLzKB-GYW7D0tGG0J3MH0wdUBqhVI),$3333430.73,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$3333430.73,$0.00,$0.00,$3333430.73,Debt,Debt,,Freight,,$0.00
KEMLO,KEMLO,$330164.45,ORKA_LOGO_enhanced.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/ILqnowrtgrmnx9g2GMc0GQ/YaVO1dzNMTTXco_tx53eNSRL-OxKHWwuLY73wQ87Ojmk4q08FJGWbPsTaEj85EcZc8834rCcFz18i7fO28a8NvwVZnJb-edvOsLgGAFswtQESKyuVOAW6jYQf1Wo1p2duj7PO7m1Rdlb1QB9vVJ4zvR73V5xu3DMB_OboijzbaY/R33hz2mzIrq4cm8us2OSDVpGu9gzmM0oVyuMCnyyLYQ),$330164.45,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$330164.45,$0.00,$0.00,$330164.45,Debt,Debt,,Freight,,$0.00
