Name,CLIENTS,BALANCED CLIENTS,Picture,Total Revenue,Payment for clients total,Total Ajustes,VENDOR,Type,SUM Due Balanced,SUM Partial Balanced,SUM On time Balanced,SUM Pre Paid Balanced,Credit Limit (from Client list Link),Credit Avalible,SUM Final due balance,INTRA per Client,Balanced + Intra,Debt,Debt INTRA,Frozen Balanced Clients,Active clients,Cashflow,Payments in Transit
BTO TRANSPORT,,$96175.52,,$96175.52,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$96175.52,$0.00,,$96175.52,Debt,Debt,$29795.34,,,$0.00
UNITED,,$2146897.81,,$2146897.81,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$2146897.81,$0.00,,$2146897.81,Debt,Debt,$2115583.81,,,$0.00
DRACO,,$3730420.57,,$3730420.57,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$3730420.57,$0.00,,$3730420.57,Debt,Debt,$3730420.57,,,$0.00
RHINO,,$8325775.71,,$8325775.71,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$8325775.71,$0.00,,$8325775.71,Debt,Debt,$3308090.57,,1/15/2025,$0.00
BRAVE,,$864842.04,,$864842.04,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$864842.04,$0.00,,$864842.04,Debt,Debt,$833583.78,,,$0.00
ENTERPRISE,,$1855830.53,,$1855830.53,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$1855830.53,$0.00,,$1855830.53,Debt,Debt,$1855830.53,,,$0.00
KWW,,$818861.75,,$818861.75,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$818861.75,$0.00,,$818861.75,Debt,Debt,$818861.75,,,$0.00
XELA,,$105871.54,,$105871.54,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$105871.54,$0.00,,$105871.54,Debt,Debt,$105871.54,,,$0.00
JAR (freight),,$56586.30,,$56586.30,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$56586.30,$0.00,,$56586.30,Debt,Debt,$56586.30,,,$0.00
RIVAMA,,$22444.70,,$22444.70,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$22444.70,$0.00,,$22444.70,Debt,Debt,$22444.70,,,$0.00
BLUE FEATHER,,$950652.70,,$950652.70,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$950652.70,$0.00,,$950652.70,Debt,Debt,$1012121.43,,,$0.00
M&A,,$20173.02,,$20173.02,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$20173.02,$0.00,,$20173.02,Debt,Debt,$20173.02,,,$0.00
KIMINAA,,$141062.72,,$141062.72,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$141062.72,$0.00,,$141062.72,Debt,Debt,$86869.40,,,$0.00
LUMEN,,$1030886.60,,$1030886.60,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$1030886.60,$0.00,,$1030886.60,Debt,Debt,$947153.30,,1/15/2025,$0.00
PC,,$129730.79,,$129730.79,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$129730.79,$0.00,,$129730.79,Debt,Debt,$129730.79,,,$0.00
