Producto,Terminal,Carrier ,Truck,Trailer,Estatus,BOL,BBls net,Glls,Cliente, AR ,Venta total
ETHANOL,SUNOCO,UNIFY,1116,9594,LOADING,64258,168.88,7093,ALPHA,$2.0600,"$14,611.58"
NAPHTHA,BLUEWING,CART,22,FP05,LOADING,1224862,169.67,7126,ENERGAX,$1.8000,"$12,826.80"
NAPHTHA,BLUEWING,CART,31,FP16,LOADING,1225356,175.24,7360,ENERGAX,$1.8200,"$13,395.20"
NAPHTHA,BLUEWING,CART,24,FP15,LOADING,1225357,175.5,7371,ENERGAX,$1.8200,"$13,415.22"
NAPHTHA,MOTUS,CART,24,FP15,LOADING,12763,175,7350,ENERGAX,$1.8275,"$13,432.13"
NAPHTHA,MOTUS,CART,31,FP16,LOADING,12762,175,7350,ENERGAX,$1.8275,"$13,432.13"
NAPHTHA,BLUEWING,PEGASUS,181,EGX4,LOADING,1226299,192.45,8083,ENERGAX,$1.8000,"$14,549.40"
ULSD,TITAN,XELA,5,268,LOADING,65161,3280.8,137793.6,ENGIOIL LOGISTICS,$2.1900,"$301,767.90"
ULSD,TITAN,XELA,55,288,LOADING,516898,2717.98,114155.3,ENGIOIL LOGISTICS,$2.1462,"$245,000.00"
ULSD,TITAN,BTO TRANSPORT,2,2513,LOADING,244238,176.19,7400,Puente,$2.2900,"$16,946.00"
ULSD,TITAN,XELA,XT44,404,LOADING,242112,166.67,7000,Puente,$2.1600,"$15,120.00"
ULSD,TITAN,CAN2 LOGISTICS,2759,274,LOADING,242387,171.43,7200,Puente,$2.1900,"$15,768.00"
ULSD,TITAN,Transmont,45,RM011,LOADING,243166,171.43,7200,Puente,$2.2600,"$16,272.00"
ULSD,MOTUS,CAN2 LOGISTICS,2759,275,LOADING,16410,172.4,7241,Puente,$2.4300,"$17,595.63"
ULSD,MOTUS,Transmont,45,RM_10,LOADING,16413,172.12,7229,Puente,$2.4300,"$17,566.47"
ULSD,TITAN,CAN2 LOGISTICS,2759,274,LOADING,243373,171.43,7200,Puente,$2.4200,"$17,424.00"
ULSD,MOTUS,CAN2 LOGISTICS,2759,275,LOADING,16414,171.93,7221,Puente,$2.4200,"$17,474.82"
